"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Takeuchi N.; Yamanashi Y.; Yoshikawa N.","Takeuchi, Naoki (57190867504); Yamanashi, Yuki (7004347869); Yoshikawa, Nobuyuki (7203004982)","57190867504; 7004347869; 7203004982","Design and Implementation of RSFQ Microwave Choppers for the Superconducting Quantum-Computing System","2010","IEICE Transactions on Electronics","E93-C","4","","458","462","4","1","10.1587/transele.E93.C.458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952987065&doi=10.1587%2ftransele.E93.C.458&partnerID=40&md5=a8e21f0293f9e97124bc6564707d711a","Department of Electrical and Computer Engineering, Yokohama National University, Yokohama-shi, 240-8501, Japan","Takeuchi N., Department of Electrical and Computer Engineering, Yokohama National University, Yokohama-shi, 240-8501, Japan; Yamanashi Y., Department of Electrical and Computer Engineering, Yokohama National University, Yokohama-shi, 240-8501, Japan; Yoshikawa N., Department of Electrical and Computer Engineering, Yokohama National University, Yokohama-shi, 240-8501, Japan","SUMMARY We have been studying a superconducting quantum- computing system where superconducting qubits are controlled and read out by rapid single-flux- quantum (RSFQ) circuits. In this study, we designed and fabricated an RSFQ microwave chopper, which turns on and off an externally applied microwave to control qubit states with the time resolution of sub-nanosecond. The chopper is implemented in a microwave module and mounted in a dilution refrigerator. We tested the microwave chopper at 4.2 K. The amplitude of the output microwave was approximately 100μV which is much larger than that of previously designed chopper. We also confirmed that the irradiation time can be controlled by RSFQ control circuits. Copyright © 2010 The Institute of Electronics.","Microwave chopper; Quantum bit; SFQ; Superconducting circuits","Microwaves; Quantum computers; Quantum optics; Refrigerators; Design and implementations; Dilution refrigerator; Microwave modules; Quantum bits; Quantum computing systems; Rapid single flux quantum circuits; Superconducting circuit; Superconducting qubits; Choppers (circuits)","","","","","Institute of Electronics, Information and Communication, Engineers, IEICE","09168524","","IELEE","","English","IEICE Trans Electron","Article","Final","","Scopus","2-s2.0-77952987065"
"Gomez R.; Jayanna A.; Ghoshal D.","Gomez, Richard (7402250499); Jayanna, Anil (6507905935); Ghoshal, Debabrata (7003396081)","7402250499; 6507905935; 7003396081","Quantum computing and the modified qubit","2004","Proceedings of SPIE - The International Society for Optical Engineering","5436","","","262","267","5","0","10.1117/12.543374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444255511&doi=10.1117%2f12.543374&partnerID=40&md5=2fbcf4eca494a84f255284bca4d59e34","George Mason University, School of Computational Sciences, Mail Stop: 5C3, Fairfax, VA 22030-4444, 4400 University Drive, United States","Gomez R., George Mason University, School of Computational Sciences, Mail Stop: 5C3, Fairfax, VA 22030-4444, 4400 University Drive, United States; Jayanna A., George Mason University, School of Computational Sciences, Mail Stop: 5C3, Fairfax, VA 22030-4444, 4400 University Drive, United States; Ghoshal D., George Mason University, School of Computational Sciences, Mail Stop: 5C3, Fairfax, VA 22030-4444, 4400 University Drive, United States","As interest in quantum computing evolves, consideration must be given to the development of new methods to improve the current design of quantum computers. Such ideas are not only helping the advance towards practical quantum computation applications, but are also providing clearer understanding of quantum computation itself. Eventually, several new exploratory efforts to increase the efficiency beyond the inherent advantage of quantum computational systems to classical systems will materialize. As a part of these exploration efforts, this paper presents a modified version of the qubit, which we refer to as a ""Qubit"", that allows a smaller number of Qubits than qubits to reach the same result in applications such as Shor's algorithm for the factorization of large numbers. The current model of the qubit consists of a quantum bit with two states, a zero and a one in a quantum superposition state. The Qubit, which consists of more than two states, is introduced and explained. A mathematical analysis of the Qubit within Hubert space is given. We present examples of applications of the Qubit to several quantum computing algorithms, including discussion of the advantages and disadvantages that are involved. Finally a physical model to construct such a Qubit is considered.","Quantum; Quantum Computation; Qubit; Shor's Algorithm; Superposition","Computational methods; Computer simulation; Cryptography; Fourier transforms; Harmonic generation; Mathematical models; Oscillators (electronic); Quantum computation; Quantum computing; Qubit; Shor's algorithm; Superposition; Quantum theory","","","R. Gomez; George Mason University, School of Computational Sciences, Mail Stop: 5C3, Fairfax, VA 22030-4444, 4400 University Drive, United States; email: rgomez@gmu.edu","","","0277786X","","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-10444255511"
"Jumayev B.A.","Jumayev, Bayram Ashyrmyradovich (57201922605)","57201922605","Modelling and testing multi-qubit universal control gate developed for quantum computing systems","2022","ACM International Conference Proceeding Series","","","","20","27","7","0","10.1145/3546118.3546139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137174285&doi=10.1145%2f3546118.3546139&partnerID=40&md5=22140eeb1920264a9334cd12cda5874f","State Energy Institute of Turkmenistan, Türkmenistanyň Döwlet Energetika Instituty, Bayramhan street No. 62, Mary, 745400, Turkmenistan","Jumayev B.A., State Energy Institute of Turkmenistan, Türkmenistanyň Döwlet Energetika Instituty, Bayramhan street No. 62, Mary, 745400, Turkmenistan","Quantum gates are building blocks of quantum circuits and they are used to carry out corresponding operations on quantum bits or qubits. The distinguishing feature of multi-qubit quantum control-gates is that they act on target qubits according to the state of control qubit(s). In this sense, there exist 2- and 3-qubit quantum gates such as Controlled-NOT, Toffoli (Controlled-Controlled-NOT), Controlled-Hadamard, Controlled-Swap and so on. In order to make complex quantum circuits easier and control more qubits, it is necessary to work out mathematical models of new control gates acting on more than three qubits depending on the state of control qubit. Therefore, in this work, mathematical model of multi-qubit universal control gate is worked out and some control gates are formulated in accordance with the proposed model, moreover the tests of these novel control gates are carried out using online open resource or virtual laboratory that is called ""Quirk"". Existing 2- and 3-qubit control gates can also be derived using this model. Matrix representations of Controlled-NOT-NOT, Controlled-Hadamard-Hadamard, Controlled-NOT-NOT-Hadamard, Controlled-Hadamard-Swap and Controlled-Hadamard-SWAP-NOT gates are derived using the proposed mathematical model. These quantum gates are unitary and reversible gates. Using the proposed model and novel quantum gates will help to reduce complexity of quantum circuits and develop new cryptographic algorithms.  © 2022 ACM.","mathematical modelling; multi-qubit control gate; quantum computing; quantum gates","Logic gates; Control gates; Controlled NOT; Hadamard; Mathematical modeling; Multi-qubit control gate; Quantum circuit; Quantum Computing; Quantum gates; State of control; Universal control; Qubits","","","B.A. Jumayev; State Energy Institute of Turkmenistan, Türkmenistanyň Döwlet Energetika Instituty, Mary, Bayramhan street No. 62, 745400, Turkmenistan; email: bayramtdei87@mail.ru","Vassilev T.; University of Ruse, Department of Informatics and IT, 8 Studentska St, Ruse; Trifonov R.; Technical University of Sofia, Department of IT in Industry, 8 St Kliment Ohridski blvd, Sofia","Association for Computing Machinery","","978-145039644-8","","","English","ACM Int. Conf. Proc. Ser.","Conference paper","Final","","Scopus","2-s2.0-85137174285"
"Frisch A.; Barowski H.S.; Brink M.; Roth P.H.","Frisch, Albert (55217306200); Barowski, Harry S. (6602333117); Brink, Markus (7005517603); Roth, Peter Hans (57079568500)","55217306200; 6602333117; 7005517603; 57079568500","Quantum Computing: Large-Scale Quantum Systems Based on Superconducting Qubits","2020","Frontiers Collection","Part F1076","","","527","548","21","0","10.1007/978-3-030-18338-7_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166656379&doi=10.1007%2f978-3-030-18338-7_27&partnerID=40&md5=05da9d8dbde1ce95e1edbf019c8b8c27","IBM Germany Research and Development, Schönaicher Str. 220, Böblingen, 71032, Germany; IBM T.J. Watson Research Center, Yorktown Heights, 10598, NY, United States","Frisch A., IBM Germany Research and Development, Schönaicher Str. 220, Böblingen, 71032, Germany; Barowski H.S., IBM Germany Research and Development, Schönaicher Str. 220, Böblingen, 71032, Germany; Brink M., IBM T.J. Watson Research Center, Yorktown Heights, 10598, NY, United States; Roth P.H., IBM Germany Research and Development, Schönaicher Str. 220, Böblingen, 71032, Germany","Quantum computing systems with increasing numbers of quantum bits are becoming available for intermediate-scale quantum computing applications. Among several physical implementations, superconducting circuits are one of the promising base technologies, as the manufacturing and integration of Josephson-junction-based qubits has made significant advances over the last fifteen years. Full-stack system development is key for the breakthrough of quantum computing. In this chapter, we provide an overview of current superconducting qubit implementations, system performance metrics, and the open-source quantum computing software ecosystem Qiskit. © 2020, Springer Nature Switzerland AG.","","","","","A. Frisch; IBM Germany Research and Development, Böblingen, Schönaicher Str. 220, 71032, Germany; email: alfr@de.ibm.com","","Springer VS","16123018","","","","English","Front. Collect.","Book chapter","Final","","Scopus","2-s2.0-85166656379"
"Stick D.; Sterk J.D.; Monroe C.","Stick, Daniel (6603342982); Sterk, Jonathan D. (14523765200); Monroe, Christopher (57147060600)","6603342982; 14523765200; 57147060600","The trap technique","2007","IEEE Spectrum","44","8","","36","43","7","4","10.1109/MSPEC.2007.4283534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548044268&doi=10.1109%2fMSPEC.2007.4283534&partnerID=40&md5=55331aee24fa156c1f542cd2ed782507","Sandia National Labs, Albuquerque, NM, United States; University of Maryland, College Park, MD, United States","Stick D., Sandia National Labs, Albuquerque, NM, United States; Sterk J.D.; Monroe C., University of Maryland, College Park, MD, United States","Quantum computing started when Peter Shor, a theoretical mathematician at Bell Labs discovered an algorithm for a quantum computer that can efficiently determine the prime factors of a large integer. Shor's algorithm has sparked a worldwide race to build a machine powerful enough to crack codes. The first step in building a quantum computer is to find a quantum bit or qubit. Since the discovery of trapped beryllium ions as qubit to perform logic operations, physicists have come up with at least half a dozen potential ways to do quantum computation. Qubit, being the heart of any quantum computer, has the ability to have two values simultaneously called the principle of superposition. It allows a register of qubits to hold exponentially more information than the register with the same number of classical bits. A set of requirements is needed if it were used as a quantum computer. These include setting the qubits to 0 at the start of the calculation, reading the answer after the calculation, qubits must last long enough to run a program, computer must carry out two fundamental operations and the system's basic architecture must be able to handle large number of qubits. The small scale quantum algorithms that scientists are running today and plan to run in the future will lead to insights that could make full-scale quantum computing.","","Beryllium; Cryptography; Decoding; Logic programming; Metal ions; Beryllium ions; Principle of superposition; Quantum bit; Quantum computers","","","","","","00189235","","IEESA","","English","IEEE Spectrum","Article","Final","","Scopus","2-s2.0-34548044268"
"Grossu I.V.","Grossu, I.V. (6504086114)","6504086114","Single qubit neural quantum circuit for solving Exclusive-OR","2021","MethodsX","8","","101573","","","","1","10.1016/j.mex.2021.101573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118891573&doi=10.1016%2fj.mex.2021.101573&partnerID=40&md5=12fa53d28f0f872f8407f98e8da5abb2","University of Bucharest, Faculty of Physics, Bucharest-Magurele, P.O. Box MG 11, 077125, Romania","Grossu I.V., University of Bucharest, Faculty of Physics, Bucharest-Magurele, P.O. Box MG 11, 077125, Romania","The main goal of this work was designing a single qubit neural quantum circuit for performing Exclusive-OR, a concrete example of an operation requiring multiple layers in classical neural networks. The corresponding Qiskit code was tested on both simulators and IBM's “ibmqx2” five-qubit quantum processor. Further analyses along training the proposed neural quantum circuit are currently in progress. • A single qubit neural quantum circuit for performing XOR was tested on IBM Q Experience • XOR is a concrete example of an operation requiring multiple layers in classical neural networks © 2021 The Author(s)","Artificial intelligence; Backpropagation; Linearly nonseparable problems; Perceptron; Quantum artificial neural networks; Quantum computing; Solving XOR with a single qubit neural quantum circuit","Article; artificial neural network; exclusive or; mathematical computing; mathematical model; mathematical parameters; perceptron; single qubit neural quantum circuit","","","","","Elsevier B.V.","22150161","","","","English","MethodsX","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85118891573"
"Zhao Y.; Qiao C.","Zhao, Yangming (36931852000); Qiao, Chunming (7101795631)","36931852000; 7101795631","Distributed Transport Protocols for Quantum Data Networks","2023","IEEE/ACM Transactions on Networking","","","","1","16","15","0","10.1109/TNET.2023.3262547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153406791&doi=10.1109%2fTNET.2023.3262547&partnerID=40&md5=8cb46bcea2451ba7b55558ef3454482b","School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; Department of Computer Science and Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA","Zhao Y., School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; Qiao C., Department of Computer Science and Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA","Quantum computing holds great promise and this work proposes to use new quantum data networks (QDNs) to connect multiple small quantum computers to form a cluster. Such a QDN differs from existing quantum key distribution (QKD) networks in that the former must deliver data quantum bits (i.e., qubits) reliably between different quantum computers. Two families of QDNs are studied, one using teleportation, named Tele-QDN, and the other using tell-and-go (TAG), named TAG-QDN. In order to provide reliable delivery of data qubits, while addressing QDN-specific constraints imposed by quantum physics laws such as the no-cloning theorem, and limited availability of quantum memory, two corresponding transport layer protocols suitable for distributed implementation are designed and evaluated. Such distributed quantum transport protocols (DTPs), named Tele-DTP and TAG-DTP, are the first-of-its-kind and are complementary to existing works on the protocol stack for QDNs which are at the network layer and below. Both analysis and extensive simulations show that the proposed DTPs can achieve high throughput and fairness. This study also offers new insights into potential tradeoffs involved in using different types of QDNs. IEEE","Computers; Photonics; Protocols; Quantum computing; Quantum entanglement; Quantum networks; Qubit; Repeaters; teleportation; tell-and-go; transport protocols","Cluster computing; Computation theory; Internet protocols; Network layers; Quantum chemistry; Quantum computers; Quantum cryptography; Quantum optics; Data network; Quanta computers; Quantum Computing; Quantum data; Quantum network; Quantum transport; Reliable delivery; Teleportation; Tell-and-go; Transport protocols; Quantum entanglement","","","","","Institute of Electrical and Electronics Engineers Inc.","10636692","","IEANE","","English","IEEE ACM Trans Networking","Article","Article in press","","Scopus","2-s2.0-85153406791"
"Takeuchi N.; Ozawa D.; Yamanashi Y.; Yoshikawa N.","Takeuchi, N. (57190867504); Ozawa, D. (36081120600); Yamanashi, Y. (7004347869); Yoshikawa, N. (7203004982)","57190867504; 36081120600; 7004347869; 7203004982","On-chip RSFQ microwave pulse generator using a multi-flux-quantum driver for controlling superconducting qubits","2010","Physica C: Superconductivity and its Applications","470","20","","1550","1554","4","14","10.1016/j.physc.2010.05.159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957910988&doi=10.1016%2fj.physc.2010.05.159&partnerID=40&md5=0afe79d51c39e0f6561217b73a3212c1","Department of Electrical and Computer Engineering, Yokohama National University, Hodogaya, Yokohama 240-8501, 79-5 Tokiwadai, Japan","Takeuchi N., Department of Electrical and Computer Engineering, Yokohama National University, Hodogaya, Yokohama 240-8501, 79-5 Tokiwadai, Japan; Ozawa D., Department of Electrical and Computer Engineering, Yokohama National University, Hodogaya, Yokohama 240-8501, 79-5 Tokiwadai, Japan; Yamanashi Y., Department of Electrical and Computer Engineering, Yokohama National University, Hodogaya, Yokohama 240-8501, 79-5 Tokiwadai, Japan; Yoshikawa N., Department of Electrical and Computer Engineering, Yokohama National University, Hodogaya, Yokohama 240-8501, 79-5 Tokiwadai, Japan","We have been studying a superconducting quantum-computing system where superconducting Josephson-junction quantum bits (qubits) are controlled and read out by rapid single-flux-quantum (RSFQ) circuits. In this study, we designed and fabricated an on-chip RSFQ microwave pulse generator (MPG), which generates microwave pulses with the time resolution of sub-ns for precise control of qubit states. The output microwave amplitude of the MPG can be amplified to more than 350 μV using a multi-fluxquantum (MFQ) driver, which increases the number of the propagating single-flux-quantum (SFQ) pulses. Fundamental properties of the MFQ driver and the RSFQ MPG were measured at 4.2 K. It was confirmed that the MFQ driver can amplify an SFQ pulse up to six MFQ pulses and the irradiation time and the amplitude of the output microwave of the RSFQ MPG can be controlled adequately. © 2010 Elsevier B.V. All rights reserved.","MFQ; Quantum bit; SFQ; Superconducting circuits","Crossbar equipment; Electric generators; Microwave irradiation; Microwaves; Quantum computers; Quantum optics; Fundamental properties; Microwave amplitude; Quantum bits; Quantum computing systems; Rapid single flux quantum circuits; Single-flux quantum pulse; Superconducting circuit; Superconducting qubits; Pulse generators","","","N. Yoshikawa; Department of Electrical and Computer Engineering, Yokohama National University, Hodogaya, Yokohama 240-8501, 79-5 Tokiwadai, Japan; email: yoshi@yoshilab.dnj.ynu.ac.jp","","Elsevier B.V.","09214534","","PHYCE","","English","Phys C Supercond Appl","Conference paper","Final","","Scopus","2-s2.0-77957910988"
"Hemmer P.; Lukin M.","Hemmer, Philip (7004710951); Lukin, Mikhail (24783671200)","7004710951; 24783671200","Room-temperature solid-state quantum processors in diamond","2008","Proceedings of SPIE - The International Society for Optical Engineering","6976","","697602","","","","2","10.1117/12.778016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43749112524&doi=10.1117%2f12.778016&partnerID=40&md5=c4bc5a56a90cb5d47fa50f44cd987dd3","Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX 77843, United States; Physics Department, Harvard University, Cambridge, MA, United States","Hemmer P., Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX 77843, United States; Lukin M., Physics Department, Harvard University, Cambridge, MA, United States","We are developing solid-state quantum repeaters for long-distance, secure quantum communication networks. These repeaters will combine long-range quantum entanglement, produced by optical measurements, with local few-qubit quantum processing and storage nodes. So far we have demonstrated all the key elements of the local quantum processors using nitrogen-vacancy (NV) color centers in diamond. These include multi-qubit entanglement, long storage times, and robustness against multiple re-initialization steps. Significantly, all these local operations were demonstrated at room temperature. Finally, we estimate that single shot readout should be achievable with optical plasmon wire coupling which would open the door to room-temperature few-qubit quantum computers.","Diamond; Nitrogen vacancy; Quantum computing; Quantum repeaters","Diamonds; Plasmons; Program processors; Quantum computers; Robustness (control systems); Solid state physics; Nitrogen vacancy; Quantum communication; Quantum repeaters; Quantum theory","","","","","","0277786X","978-081947167-3","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-43749112524"
"Hagouel P.I.; Karafyllidis I.G.","Hagouel, Paul Isaac (6602158624); Karafyllidis, Ioannis G. (7005974898)","6602158624; 7005974898","Quantum computers: Registers, gates and algorithms","2012","2012 28th International Conference on Microelectronics - Proceedings, MIEL 2012","","","6222789","15","21","6","10","10.1109/MIEL.2012.6222789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864237570&doi=10.1109%2fMIEL.2012.6222789&partnerID=40&md5=fce9b41020b0bad49fb0dabd2133dfe8","Optelec, GR-54622 Thessaloniki, 11 Chrysostomou Smyrnis Street, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace, GR-67100 Xanthi, Greece","Hagouel P.I., Optelec, GR-54622 Thessaloniki, 11 Chrysostomou Smyrnis Street, Greece; Karafyllidis I.G., Department of Electrical and Computer Engineering, Democritus University of Thrace, GR-67100 Xanthi, Greece","Quantum computing is a process that incorporates interacting physical systems that represent quantum bits and quantum gates. We present the quantum bit (qubit), the quantum register and the quantum gates. The qubit is described as a vector in a two-dimensional Hilbert space and the quantum register, which comprises a number of qubits, as a vector in a multidimensional Hilbert space. Quantum gates are Hilbert space operators that rotate the qubit or the quantum register vectors. Quantum computations are modeled and described using a quantum circuit model. We also present a quantum computer simulator based on the circuit model of quantum computation. In this model quantum computations and quantum algorithms are represented by circuits, which comprise quantum gates and quantum registers. The well-known Deutsch's algorithm is described and the corresponding quantum circuit is presented. Possible applications of quantum computers are be presented and discussed. © 2012 IEEE.","","Algorithms; Circuit theory; Hilbert spaces; Logic circuits; Logic gates; Microelectronics; Quantum electronics; Quantum optics; Circuit models; Deutsch's algorithms; Hilbert; Physical systems; Quantum algorithms; Quantum bit (qubit); Quantum bits; Quantum circuit; Quantum Computing; Quantum gates; Quantum register; Space operators; Quantum computers","","","P.I. Hagouel; Optelec, GR-54622 Thessaloniki, 11 Chrysostomou Smyrnis Street, Greece; email: hagouel@eecs.berkeley.edu","","","","978-146730238-8","","","English","Int. Conf. Microelectron. - Proc., MIEL","Conference paper","Final","","Scopus","2-s2.0-84864237570"
"Makhlin Yuriy; Schoen Gerd; Shnirman Alexander","Makhlin, Yuriy (7003487723); Schoen, Gerd (7003544531); Shnirman, Alexander (6603674816)","7003487723; 7003544531; 6603674816","Nano-electronic circuits as quantum bits","2000","Proceedings - IEEE International Symposium on Circuits and Systems","2","","","II","241","","4","10.1109/ISCAS.2000.856306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033725390&doi=10.1109%2fISCAS.2000.856306&partnerID=40&md5=64d85eeeb2469a11465b72942a8dc555","Universitaet Karlsruhe, Karlsruhe, Germany","Makhlin Yuriy, Universitaet Karlsruhe, Karlsruhe, Germany; Schoen Gerd, Universitaet Karlsruhe, Karlsruhe, Germany; Shnirman Alexander, Universitaet Karlsruhe, Karlsruhe, Germany","Quantum information processing systems can be used in a variety of applications. Among proposed realizations of quantum bits nano-electronic circuits appear most promising for integration in electronic circuits and large-scale applications. We discuss Josephson junction circuits in two regimes where they can be used for quantum computing. In one limit, two logic states of the quantum bit differ by a Cooper pair charge, 2e, on a superconducting island. In the other limit different magnetic fluxes penetrate a superconducting loop in two states. Single-qubit and two-qubit logic operations can be performed by means of voltage or current pulses. Weak coupling to the environment allows a series of these elementary steps before the phase coherence is lost. To read out the result of the computation a quantum measurement is needed. For charge qubits this can be accomplished by coupling a single-electron transistor (SET) capacitively to the qubit. Monitoring the current in the transistor one can extract the information about the state of the qubit. We discuss recent experiments and present a suitable set of circuit parameters available with the present-day technology.","","Nanotechnology; Transistors; Nano-electronic circuits; Quantum bits; Single electron transistors; Quantum theory","","","","","IEEE","02714310","","PICSD","","English","Proc IEEE Int Symp Circuits Syst","Conference paper","Final","","Scopus","2-s2.0-0033725390"
"Fuketa H.; Akita I.; Ishikawa T.; Koike H.; Mori T.","Fuketa, Hiroshi (26221693500); Akita, Ippei (15922415500); Ishikawa, Tomohiro (57825668100); Koike, Hanpei (36155508200); Mori, Takahiro (55585433400)","26221693500; 15922415500; 57825668100; 36155508200; 55585433400","A Cryogenic CMOS Current Integrator and Correlation Double Sampling Circuit for Spin Qubit Readout","2023","IEEE Transactions on Circuits and Systems I: Regular Papers","","","","1","9","8","0","10.1109/TCSI.2023.3317895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173361342&doi=10.1109%2fTCSI.2023.3317895&partnerID=40&md5=971aad79328884fbdda3141c4ec5772c","Device Technology Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan; TIA Central Office, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan","Fuketa H., Device Technology Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan; Akita I., Device Technology Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan; Ishikawa T., TIA Central Office, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan; Koike H., Device Technology Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan; Mori T., Device Technology Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Japan","In this paper, we propose a CMOS current comparison circuit operating at cryogenic temperature to readout spin quantum bit (qubit) states via a charge sensing scheme. A current integrator and correlation double sampling circuit are implemented in the proposed current comparator since precise current sensing is required to achieve readout the states of qubits. The measurement results indicate the feasibility that the reduced readout time by a factor of 1/100 and 100-times better current resolution with the readout fidelity of 99.9 % compared to the conventional readout systems are achieved. Additionally, the current and noise specifications for a charge sensor required to attain it are discussed. Furthermore, the proposed current comparator attains the best tradeoff among power, current resolution, and readout time, compared with the conventional cryogenic current readout circuits. IEEE","Cryo-CMOS; current comparator; quantum computing; qubit readout; spin quantum bit (qubit)","CMOS integrated circuits; Comparator circuits; Comparators (optical); Quantum computers; Quantum optics; Readout systems; Sampling; Timing circuits; 'current; Cryo-CMOS; Current comparators; Current resolution; Double-sampling; Quantum bit readout; Quantum Computing; Readout time; Sampling circuits; Spin quantum bit; Cryogenics","","","","","Institute of Electrical and Electronics Engineers Inc.","15498328","","","","English","IEEE Trans. Circuits Syst. Regul. Pap.","Article","Article in press","","Scopus","2-s2.0-85173361342"
"Zhou H.; Byrd G.T.","Zhou, Huiyang (56884938900); Byrd, Gregory T. (7006171319)","56884938900; 7006171319","Quantum Circuits for Dynamic Runtime Assertions in Quantum Computation","2019","IEEE Computer Architecture Letters","18","2","8798600","111","114","3","15","10.1109/LCA.2019.2935049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072060207&doi=10.1109%2fLCA.2019.2935049&partnerID=40&md5=49b312d4f70c78ff1d79575e2ae7b72a","Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, United States; Department of Electrical and Computer Engineering, North Carolina State Univ., Raleigh, NC, United States","Zhou H., Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, United States; Byrd G.T., Department of Electrical and Computer Engineering, North Carolina State Univ., Raleigh, NC, United States","In this paper, we propose quantum circuits for runtime assertions, which can be used for both software debugging and error detection. Runtime assertion is challenging in quantum computing for two key reasons. First, a quantum bit (qubit) cannot be copied, which is known as the non-cloning theorem. Second, when a qubit is measured, its superposition state collapses into a classical state, losing the inherent parallel information. In this paper, we overcome these challenges with runtime computation through ancilla qubits, which are used to indirectly collect the information of the qubits of interest. We design quantum circuits to assert classical states, entanglement, and superposition states. © 2002-2011 IEEE.","assertions; debugging; quantum circuits; Quantum computing; quantum error detection","Clone cells; Computation theory; Computer debugging; Error detection; Program debugging; Quantum optics; Qubits; Timing circuits; assertions; Quantum bit (qubit); Quantum circuit; Quantum Computing; Runtime assertion; Runtimes; Software debugging; Superposition state; Quantum entanglement","National Science Foundation, NSF, (1717550, 1908406)","","H. Zhou; Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, United States; email: hzhou@ncsu.edu","","Institute of Electrical and Electronics Engineers Inc.","15566056","","","","English","IEEE Comput. Archit. Lett.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85072060207"
"Fujishima M.; Saito K.; Onouchi M.; Hoh H.","Fujishima, M. (56404061200); Saito, K. (57211881790); Onouchi, M. (6507416902); Hoh, H. (7005850208)","56404061200; 57211881790; 6507416902; 7005850208","High-speed processor for quantum-computing emulation and its applications","2003","Proceedings - IEEE International Symposium on Circuits and Systems","4","","","IV884","IV887","3","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038419503&partnerID=40&md5=5febc0cee66c7f7d73a7a9b80898e69d","School of Frontier Sciences, University of Tokyo, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan; CREST, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan","Fujishima M., School of Frontier Sciences, University of Tokyo, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan; Saito K., School of Frontier Sciences, University of Tokyo, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan; Onouchi M., School of Frontier Sciences, University of Tokyo, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan; Hoh H., School of Frontier Sciences, University of Tokyo, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan, CREST, Kashiwa, Chiba 277-8561, 7-3-1-703 Kashiwanoha, Japan","A high-speed and large-scale processor dedicated to quantum computing is proposed, which has the minimum operation function needed for execution of a quantum algorithm. In this processor, the probability amplitudes determined by the states of the quantum bits in the quantum computer are described using only one bit, and we named it a logic quantum processor. It is found that for this processor an execution speed 275 times higher than that of a software simulation is obtained when the processor executing the quantum algorithm for 16 qubit has been implemented in a FPGA. As an example application, it is shown that the processor can solve the satisfiability problem and that it can also simulate the decoherence in the quantum computer at high speed.","","Algorithms; Bit error rate; Computer simulation; Fourier transforms; Microprocessor chips; Probabilistic logics; Probability; Logic quantum processors (LQP); Quantum electronics","","","","","","02714310","","PICSD","","English","Proc IEEE Int Symp Circuits Syst","Conference paper","Final","","Scopus","2-s2.0-0038419503"
